Nb nils : 21457, Nb nodes : 10728, Time : 25.464
Nb nils : 21461, Nb nodes : 10730, Time : 4.901
Nb nils : 22219, Nb nodes : 11109, Time : 6.618
Nb nils : 21651, Nb nodes : 10825, Time : 5.601
Nb nils : 18833, Nb nodes : 9416, Time : 5.889
Nb nils : 19563, Nb nodes : 9781, Time : 3.152
Nb nils : 17895, Nb nodes : 8947, Time : 3.0
Nb nils : 20835, Nb nodes : 10417, Time : 3.785
Nb nils : 13813, Nb nodes : 6906, Time : 1.854
Nb nils : 21571, Nb nodes : 10785, Time : 4.211
Nb nils : 21857, Nb nodes : 10928, Time : 6.171
Nb nils : 25693, Nb nodes : 12846, Time : 4.813
Nb nils : 24489, Nb nodes : 12244, Time : 4.996
Nb nils : 19643, Nb nodes : 9821, Time : 5.293
Nb nils : 19711, Nb nodes : 9855, Time : 3.223
Nb nils : 15607, Nb nodes : 7803, Time : 5.341
Nb nils : 22105, Nb nodes : 11052, Time : 4.407
Nb nils : 20481, Nb nodes : 10240, Time : 3.905
Nb nils : 17871, Nb nodes : 8935, Time : 3.053
Nb nils : 18665, Nb nodes : 9332, Time : 3.295
Nb nils : 17759, Nb nodes : 8879, Time : 4.773
Nb nils : 18163, Nb nodes : 9081, Time : 8.232
Nb nils : 16185, Nb nodes : 8092, Time : 10.269
Nb nils : 16635, Nb nodes : 8317, Time : 5.286
Nb nils : 20785, Nb nodes : 10392, Time : 4.154
Nb nils : 17113, Nb nodes : 8556, Time : 4.104
Nb nils : 19521, Nb nodes : 9760, Time : 12.052
Nb nils : 21791, Nb nodes : 10895, Time : 13.046
Nb nils : 19411, Nb nodes : 9705, Time : 4.044
Nb nils : 17123, Nb nodes : 8561, Time : 4.238
Nb nils : 17045, Nb nodes : 8522, Time : 4.343
Nb nils : 17565, Nb nodes : 8782, Time : 3.365
Nb nils : 17821, Nb nodes : 8910, Time : 3.634
Nb nils : 23159, Nb nodes : 11579, Time : 2.334
Nb nils : 17649, Nb nodes : 8824, Time : 3.001
Nb nils : 14993, Nb nodes : 7496, Time : 2.328
Nb nils : 20651, Nb nodes : 10325, Time : 3.583
